Zona,Precios,Direcciones,Dimensiones
Centro,"39,890,000",Av. Ing Eduardo Molina 3716,600 m² tot.3 rec.4 baños4 estac.
Centro,"70,000,000",Corbeta 10,705 m² tot.4 rec.4 baños4 estac.
Centro,"5,400,000",Agua,149 m² tot.5 rec.4 baños3 estac.
Centro,"7,800,000",Gutemberg ,198 m² tot.4 rec.3 baños3 estac.
Centro,"58,990,000",AV. DE LAS TORRES 446,2723 m² tot.5 rec.7 baños7 estac.
Centro,"20,000,000","Casa en San Jerónimo Aculco, La Magdalena Contreras",194 m² tot.1 baño7 estac.
Centro,"10,500,000",Uvas,195 m² tot.3 rec.2 baños2 estac.
Centro,"7,980,000",Pampas 47,229 m² tot.3 rec.3 baños2 estac.
Centro,"12,000,000",LADERA,204 m² tot.4 rec.2 baños2 estac.
Centro,"4,250,000",Artes,200 m² tot.7 rec.1 baño
Centro,"38,000,000",Laja,882 m² tot.6 rec.6 baños3 estac.
Centro,"16,270,000",Nicolás San Juan,635 m² tot.4 rec.4 baños4 estac.
Centro,"51,500,000",Tesoreros S/N,1195 m² tot.4 rec.4 baños6 estac.
Centro,"22,200,000",Las Fuentes,242 m² tot.5 rec.2 baños2 estac.
Centro,"12,500,000",Rio Ganges 61,372 m² tot.5 rec.4 baños6 estac.
Centro,"10,300,000",Calzada de las Águilas,369 m² tot.6 rec.4 baños2 estac.
Centro,"17,490,000",Monte Casino 115,285 m² tot.5 rec.3 baños5 estac.
Centro,"22,500,000",colorines jardines de pedregal,352 m² tot.4 rec.4 baños4 estac.
Centro,"14,000,000",Colorines,181 m² tot.6 rec.4 baños1 estac.
Centro,"71,781,000",MESETA,756 m² tot.6 rec.6 baños4 estac.
Centro,"47,000,000",Atizapán,1907 m² tot.4 rec.3 baños4 estac.
Centro,"61,000,000",Lomas de Virreyes,2000 m² tot.3 rec.3 baños20 estac.
Centro,"8,999,999",Zamora,225 m² tot.4 rec.2 baños2 estac.
Centro,"75,000,000",Izamal Lote 2 Mz. 26,778 m² tot.4 rec.3 baños4 estac.
Centro,"22,650,000","Av Paseo del Río, Chimalistac, Álvaro Obregón",144 m² tot.4 rec.4 baños2 estac.
Centro,"5,800,000",Sierra Amatepec,240 m² tot.6 rec.3 baños4 estac.
Centro,"19,950,000",Cerro de Maquiltepec 240,343 m² tot.3 rec.4 baños3 estac.
Centro,"26,000,000",Bosque de SAUCES,525 m² tot.3 rec.3 baños5 estac.
Centro,"7,000,000",Cuesta,186 m² tot.3 rec.2 baños2 estac.
Centro,"48,000,000",TRINIDAD,750 m² tot.4 rec.4 baños6 estac.
Centro,"20,647,000",AV. DE LAS FUENTES,420 m² tot.3 rec.3 baños6 estac.
Centro,"18,000,000",Callejon del Prado 43,312 m² tot.4 rec.4 baños4 estac.
Centro,"24,990,000",Nabor Carrillo,781 m² tot.6 rec.5 baños8 estac.
Centro,"12,138,525",Monte Antuco,280 m² tot.3 rec.3 baños3 estac.
Centro,"16,900,000",Tultitlan S/N,2024 m² tot.3 rec.3 baños3 estac.
Centro,"29,956,000",Margaritas,525 m² tot.3 rec.3 baños2 estac.
Centro,"7,899,000",Bosques de Jacarandas 411,179 m² tot.4 rec.3 baños2 estac.
Centro,"10,900,000",LAVA,228 m² tot.6 rec.3 baños2 estac.
Centro,"17,800,000",Tlalpuente S/N,598 m² tot.3 rec.4 baños4 estac.
Centro,"23,800,000","Coban, #S/N",820 m² tot.4 rec.4 baños7 estac.
Centro,"21,900,000",Berlin,3500 m² tot.3 rec.5 baños12 estac.
Centro,"8,990,000",ROCAS,156 m² tot.3 rec.2 baños1 estac.
Centro,"28,000,000",UVAS,480 m² tot.4 rec.6 baños6 estac.
Centro,"120,000,000",Desierto de los leones 5512 casi esquina Av. Toluca,1448 m² tot.4 rec.4 baños12 estac.
Centro,"13,000,000",Etna 50,220 m² tot.4 rec.2 baños2 estac.
Centro,"8,000,000",Xochicalco S/N,200 m² tot.3 rec.2 baños2 estac.
Centro,"23,600,000",Paseo de la Reforma,785 m² tot.4 rec.6 baños6 estac.
Centro,"13,000,000",Minerva,200 m² tot.6 rec.3 baños4 estac.
Centro,"39,950,000",SAN Jeronimo Lidice,739 m² tot.3 rec.3 baños6 estac.
Centro,"14,950,000",AFLUENTE,200 m² tot.3 rec.2 baños2 estac.
Centro,"7,800,000",Jojutla 16,209 m² tot.3 rec.2 baños2 estac.
Centro,"14,800,000",FUEGO,454 m² tot.3 rec.3 baños6 estac.
Centro,"13,800,000",arteaga y salazar,293 m² tot.3 rec.3 baños3 estac.
Centro,"54,900,000",Corina 134,736 m² tot.5 rec.5 baños15 estac.
Centro,"21,700,000",C. Gitana 274,703 m² tot.3 rec.3 baños4 estac.
Centro,"27,900,000",Callejon de la cruz 18,674 m² tot.4 rec.6 baños6 estac.
Centro,"4,500,000",RAUDAL,250 m² tot.3 rec.2 baños2 estac.
Centro,"9,300,000",Fuente del Cesped,234 m² tot.3 rec.3 baños2 estac.
Centro,"14,900,000",LERDO,376 m² tot.3 rec.3 baños3 estac.
Centro,"12,990,000",Montaña,238 m² tot.3 rec.2 baños4 estac.
Centro,"12,100,000",FUENTE DE CANTOS,761 m² tot.5 rec.5 baños6 estac.
Centro,"34,950,000",Cerrada Salvador Novo,783 m² tot.4 rec.4 baños4 estac.
Centro,"16,800,000",Bosque de Enebros,350 m² tot.6 rec.5 baños3 estac.
Centro,"34,725,000",Miguel Angel de Quevedo,727 m² tot.4 rec.3 baños6 estac.
Centro,"21,000,000",Camino a Santa Teresa 480 Vía Encinos,600 m² tot.3 rec.3 baños2 estac.
Centro,"10,000,000",Hera,129 m² tot.3 rec.3 baños1 estac.
Centro,"38,900,000",Avenida Patriotismo,967 m² tot.5 rec.5 baños8 estac.
Centro,"32,000,000",Residencial Lomas de San Ángel,423 m² tot.3 rec.3 baños4 estac.
Centro,"19,690,000",PASEO DE LA REFORMA,160 m² tot.4 rec.3 baños
Centro,"19,200,000","Puebla 118, Casa  12",500 m² tot.4 rec.4 baños7 estac.
Centro,"59,900,000",Llanura,1200 m² tot.3 rec.3 baños8 estac.
Centro,"4,780,000",SAN BUENAVENTURA,134 m² tot.3 rec.2 baños2 estac.
Centro,"14,690,000",Porfirio Díaz 180,360 m² tot.3 rec.3 baños4 estac.
Centro,"13,300,000",Av. de las Flores,340 m² tot.3 rec.3 baños2 estac.
Centro,"17,500,000",Minerva,312 m² tot.4 rec.4 baños4 estac.
Centro,"22,500,000",Circuito SAN Francisco 11,417 m² tot.3 rec.3 baños3 estac.
Centro,"14,000,000",DESIERTO DE LOS LEONES 5049,503 m² tot.5 rec.5 baños5 estac.
Centro,"58,000,000",Bosque de manzanos,3800 m² tot.4 rec.8 baños10 estac.
Centro,"12,900,000",Fuente del Tesoro,143 m² tot.3 rec.4 baños4 estac.
Centro,"47,000,000",Juan Vicente de Guemez,800 m² tot.4 rec.5 baños5 estac.
Centro,"17,124,000",Brisa,525 m² tot.4 rec.4 baños4 estac.
Sur,"6,500,000",San Agustín Yatareni,1 m² tot.6 rec.3 baños2 estac.
Sur,"4,500,000",Piedra de Sal,100 m² tot.3 rec.2 baños2 estac.
Sur,"3,200,000",SAN ANDRÉS HUAYAPAM,120 m² tot.3 rec.2 baños2 estac.
Sur,"2,600,000",Casa en Venta en Oaxaca,200 m² tot.3 rec.2 baños
Sur,"2,250,000","Cam. a Rancho Escondido 4, Los Laureles, Oaxaca de Juárez, Oax.",90 m² tot.3 rec.3 baños2 estac.
Sur,"1,800,000",HUAYAPAM,250 m² tot.3 rec.2 baños1 estac.
Sur,"12,500,000",Sector O,450 m² tot.3 rec.3 baños1 estac.
Sur,"680,000","Residencial Conejos, Huatulco",371 m² tot.3 rec.3 baños2 estac.
Sur,"315,000",La Bocana Santa Cruz Huatulco,212 m² tot.1 rec.1 baño1 estac.
Sur,"3,850,000",Los Naranjos,6000 m² tot.6 rec.7 baños2 estac.
Sur,"1,830,000",PRIVADA DE DENALI,120 m² tot.1 baño3 estac.
Sur,"1,100,000",Marina Chahue,497 m² tot.4 rec.4 baños2 estac.
Sur,"2,500,000",Seis Olas,1400 m² tot.4 rec.4 baños1 estac.
Sur,"2,800,000",huayapam,128 m² tot.4 rec.2 estac.
Sur,"3,300,000","Calle Framboyanes 102 Alamos 71243 Santa Lucía del Camino,",165 m² tot.4 rec.3 baños2 estac.
Sur,"1,660,000",RESIDENCIAL SANTA MARIA,85 m² tot.1 baño1 estac.
Sur,"3,500,000",Calle del Órgano Mazunte,625 m² tot.2 rec.2 baños5 estac.
Sur,"5,500,000",COLONIA VOLCANES,238 m² tot.6 rec.4 baños2 estac.
Sur,"3,700,000",Santa Maria Huatulco,412 m² tot.5 rec.3 baños3 estac.
Sur,"679,000",Cuatunalco,1200 m² tot.3 rec.2 baños1 estac.
Sur,"1,800,000",Balcones de Tangolunda,433 m² tot.4 rec.4 baños4 estac.
Sur,"6,800,000",Av Real playa Palmarito,393 m² tot.4 rec.4 baños3 estac.
Sur,"700,000",RESIDENCIAL CONEJOS,690 m² tot.4 rec.4 baños2 estac.
Sur,"3,650,000",CALLE ADOLFO RUIZ CORTINEZ SN COL DEPORTIVA,600 m² tot.4 rec.3 baños4 estac.
Sur,"4,400,000",MAZUNTE,700 m² tot.5 rec.5 baños5 estac.
Sur,"4,500,000","San Felipe Del Agua 1, Oaxaca de Juárez",201 m² tot.3 rec.2 baños1 estac.
Sur,"1,957,300",Ferrocarril 401 San Isidro  Santa Cruz Xoxocotlan al 400,104 m² tot.3 rec.2 baños1 estac.
Sur,"6,900,000",SAN ANTONIO,721 m² tot.4 rec.2 baños3 estac.
Sur,"5,200,000",Mazunte,932 m² tot.2 rec.1 baño2 estac.
Sur,"5,900,000",Loma Guajal,186 m² tot.4 rec.3 baños2 estac.
Sur,"2,300,000",Playa cerro Hermoso tutitepec oaz.,576 m² tot.2 rec.1 baño1 estac.
Sur,"3,100,000","San Lorenzo cacaotepec, la soledad",170 m² tot.3 rec.2 baños2 estac.
Sur,"5,900,000",Centro,200 m² tot.4 rec.3 baños2 estac.
Sur,"890,000","Etla, Sto Domingo Montealban 11",90 m² tot.2 rec.1 baño1 estac.
Sur,"7,400,000",LUCERO,253 m² tot.9 rec.5 baños1 estac.
Sur,"6,700,000",Fray Servando 80,245 m² tot.3 rec.2 baños2 estac.
Sur,"13,500,000","Amapolas,Reforma,Oaxaca de Juarez, Oax.",388 m² tot.5 rec.4 baños
Sur,"1,800,000","Santa María Colotepec, San Pedro Mixtepec, San Pedro Mixtepec -dto. 26 -",349 m² tot.4 rec.4 baños1 estac.
Sur,"2,500,000","Yucuita 15, Los Álamos,  Oaxaca de Juárez, Oax.",120 m² tot.4 rec.2 baños1 estac.
Sur,"60,000",centro oaxaca,150 m² tot.6 rec.4 baños
Sur,"5,500,000","San Antonio 7A Seccion Tlalixtac de Cabrera, Oax.",945 m² tot.6 rec.4 baños2 estac.
Sur,"1,342,000",Puerto Angel,3788 m² tot.1 rec.1 baño16 estac.
Sur,"1,850,000",CALLE JUSTO SIERRA SN ESQUINA 3 DE MAYO,370 m² tot.4 rec.3 baños2 estac.
Sur,"1,695,000",san pablo etla,80 m² tot.2 rec.2 baños2 estac.
Sur,"1,995,500",XOXONAZARENO,200 m² tot.3 rec.2 baños2 estac.
Sur,"1,300,000","rivera del atoyac, el pilar",100 m² tot.2 rec.1 estac.
Sur,"8,950,000","Ex Hacienda de Aguilera S/N, Sur,  San Felipe del Agua, Oax.",270 m² tot.5 rec.3 baños2 estac.
Sur,"3,500,000","Hidalgo, Guadalupe Victoria",180 m² tot.3 rec.2 baños2 estac.
Sur,"2,800,000",prolongación de colon esquina otilio montaño #,122 m² tot.2 rec.2 baños1 estac.
Sur,"10,500,000","C. Morelos 21-, La Trinidad 6ta Secc,  Tlalixtac de Cabrera, Oax.",1000 m² tot.3 rec.2 baños5 estac.
Sur,"3,350,000","Lomas de Sierra Juárez, San Andrés Huayapam, Oaxaca",96 m² tot.3 rec.2 baños1 estac.
Sur,"6,300,000",Sierra de Miahutlan,232 m² tot.5 rec.4 baños3 estac.
Sur,"1,899,000","Venta DE Casa EN Rancho Aguayo, Xoxo, Oaxaca",82 m² tot.3 rec.3 baños2 estac.
Sur,"1,100,000","San Sebastián Etla, Oaxaca, muy Cerca de la Carretera Internacional.",2170 m² tot.3 rec.3 baños2 estac.
Sur,"2,900,000","Av. Hidalgo 12,  San Isidro Monjas, Oax.",240 m² tot.3 rec.2 baños2 estac.
Sur,"11,250,000",ixtlan,725 m² tot.5 rec.3 baños3 estac.
Sur,"447,000","Calle Vialidad 3 Esq. con Vialidad 4, Sector M, Santa María Huatulco",438 m² tot.3 rec.3 baños1 estac.
Sur,"5,500,000","Gran  Casa en Venta Tlalixtac, Oaxaca",600 m² tot.5 rec.4 baños2 estac.
Sur,"3,600,000",SAN SEBASTIAN TUTLA,200 m² tot.3 rec.3 baños2 estac.
Sur,"11,560,000",av oaxaca,289 m² tot.2 rec.3 baños2 estac.
Sur,"2,380,000",Barra de Copalita Fraccionamiento El Paraíso,500 m² tot.2 rec.2 baños3 estac.
Sur,"11,600,000","COLONIA SECTOR N , BAHIAS DE HUATULCO",478 m² tot.3 rec.3 baños1 estac.
Sur,"11,560,000","Av. Hidalgo, sector reforma, Plaza Esmeralda",289 m² tot.3 rec.3 baños1 estac.
Sur,"8,500,000",Zicatela No. ,250 m² tot.3 rec.4 baños2 estac.
Sur,"7,800,000","4 ta privada de Jose Lopez Alavez, San Felipe",252 m² tot.3 rec.3 baños2 estac.
Sur,"450,000",Entrada a Bahía Marinero,161 m² tot.3 rec.4 baños1 estac.
Sur,"1,319,900","Carr. a residencial Sta. maria,  Oax.",68 m² tot.2 rec.1 baño1 estac.
Sur,"10,900,000",Santa Cruz,400 m² tot.3 rec.3 baños1 estac.
Sur,"2,450,000",131 jazmines,170 m² tot.3 rec.1 baño
Sur,"5,700,000",Loman Guajal 119,185 m² tot.3 rec.3 baños3 estac.
Sur,"6,900,000",Camino Tioosba 104,712 m² tot.4 rec.2 baños2 estac.
Sur,"8,900,000",catalina ,350 m² tot.4 rec.4 baños2 estac.
Sur,"5,350,000",Heroes Oaxaqueños,289 m² tot.2 rec.1 baño3 estac.
Sur,"5,500,000",Punta Zicatela,279 m² tot.1 baño1 estac.
Sur,"6,850,000",CALLE MINA,1499 m² tot.3 rec.3 baños4 estac.
Sur,"22,500,000",La Cañada Lote 5 Villa G,550 m² tot.4 rec.2 baños2 estac.
Sur,"6,000,000",Antiguo Camino a San Felipe del Agua No. 538,147 m² tot.4 rec.4 baños2 estac.
Sur,"11,000,000",Ejido Guadalupe Victoria,520 m² tot.5 rec.5 baños3 estac.
Sur,"2,900,000",Avenida Puerto Ángel 60,468 m² tot.10 rec.5 baños2 estac.
Sur,"9,300,000",Agua ,200 m² tot.4 rec.4 baños2 estac.
Sur,"4,600,000","Calle a la bomba, numero ",260 m² tot.1 rec.1 baño1 estac.
Sur,"850,000",Rojas de Cuauhtémoc,3753 m² tot.3 rec.4 baños8 estac.
Sur,"8,500,000",privada de Gregorio Chavez,1117 m² tot.2 baños3 estac.
Sur,"12,000,000",Calle Nicolás del Puerto,443 m² tot.5 rec.2 baños
Sur,"1,595,000",Rancho Neptuno,2399 m² tot.4 rec.4 baños2 estac.
Sur,"12,600,000","SECTOR N MZ 5 LOTE 4, BAHÍAS DE HUATULCO, OAXACA",475 m² tot.4 rec.5 baños2 estac.
Sur,"6,350,000",El Mogotito del Barrio de Lomas Salinas,200 m² tot.4 rec.5 baños2 estac.
Sur,"1,300,000",Diaz Ordaz,71 m² tot.2 rec.2 baños1 estac.
Sur,"1,950,000","Av. Hidalgo 12,  San Isidro Monjas, Oax.",104 m² tot.3 rec.2 baños1 estac.
Sur,"6,000,000",Ejido Guadalupe Victoria,185 m² tot.3 rec.3 baños2 estac.
Sur,"22,000,000","San Sebastián Etla, Oaxaca, muy Cerca de la Carretera Internacional.",2170 m² tot.3 rec.3 baños2 estac.
Sur,"799,500",Boulevard Santa Cruz El Arrocito,530 m² tot.3 rec.4 baños2 estac.
Sur,"8,400,000","Boulevard Benito Juárez Rinconada, Puerto Escondido.",259 m² tot.2 rec.2 baños2 estac.
Sur,"7,600,000","La Crucecita, Oaxaca",156 m² tot.3 rec.3 baños2 estac.
Sur,"2,750,000",SAN Miguel Yautepec II,43 m² tot.3 rec.2 baños2 estac.
Sur,"2,800,000",SAN Miguel Yautepec,72 m² tot.3 rec.2 baños2 estac.
Sur,"14,990,000",Santa Cruz,446 m² tot.4 rec.4 baños
Sur,"18,000,000",Bahia Conejo,316 m² tot.5 rec.7 baños2 estac.
Sur,"15,000,000",Sector O,492 m² tot.6 rec.7 baños
Sur,"507,000",SANTA ROSA PANZACOLA OAXACA DE JUAREZ,237 m² tot.4 rec.2 estac.
Sur,"609,298","PRIVADA DE LAURELES  COLONIA REFORMA OAXACA DE JUÁREZ, OAXACA",368 m² tot.4 rec.3 baños2 estac.
Sur,"1,995,751",Sta. Martha 00,230 m² tot.3 rec.1 baño1 estac.
Sur,"2,395,000",Puerto Escondido,2221 m² tot.4 rec.4 baños2 estac.
Sur,"550,000",blvd. la paz #209,450 m² tot.4 rec.3 baños2 estac.
Sur,"480,000",loma verde  ,250 m² tot.4 rec.3 baños2 estac.
Sur,"330,000","Circuito Ixtepeji 204, La Noria, Santo Domingo Tehuantepec, Oaxaca",69 m² tot.1 rec.1 baño1 estac.
Sur,"9,000,000","Independencia Esquina Arista , Barrio La Piragua, Tuxtepec, Oaxaca",773 m² tot.8 rec.7 baños2 estac.
Sur,"698,000","Venta DE Casa EN Riberas DE SAN Jerónimo, SC, Oaxaca",42 m² tot.1 rec.1 baño1 estac.
Sur,"730,000",ALAMOS,117 m² tot.3 rec.2 baños2 estac.
Sur,"1,100,000",5 DE FEBRERO 100 CENTRO OAXACA,150 m² tot.5 rec.3 baños1 estac.
Sur,"8,000,000",Aldama,298 m² tot.4 rec.5 baños2 estac.
Sur,"10,500,000",De Jacalón 104,450 m² tot.3 rec.2 baños2 estac.
Sur,"1,700,000",Calvario,100 m² tot.3 rec.2 baños1 estac.
Sur,"810,000",ALAMOS 9 LOS ALAMOS HUAJUAPAN DE LEON OAXACA,370 m² tot.4 rec.3 baños2 estac.
Sur,"624,000",RIO COLORADO 22,73 m² tot.2 rec.1 baño1 estac.
Sur,"3,100,000","SAN JACINTO AMILPAS, OAXACA",1 m² tot.3 rec.3 baños1 estac.
Sur,"481,000",huerto de framboyanes,184 m² tot.4 rec.2 baños2 estac.
Sur,"379,000",Boulevard Virgilio Uribe La Mina,150 m² tot.2 rec.2 baños1 estac.
Sur,"480,000",Bugambilia Naranja,135 m² tot.4 rec.3 baños2 estac.
Sur,"1,250,000","Camino a Puerto Angelito, Colonia Aeropuerto, San Pedro Mixtepec -dto. 22 -",382 m² tot.4 rec.4 baños1 estac.
Sur,"426,000",RAFAEL OSUNA,193 m² tot.4 rec.2 baños2 estac.
Sur,"379,000","La Mina, San Pedro Pochutla",200 m² tot.2 rec.1 baño1 estac.
Sur,"550,000",blvd la paz colinas de la soledad oaxaca,320 m² tot.4 rec.3 baños2 estac.
Sur,"600,000",huerto de los franboyanes col universidad trinidad las huertas oaxaca,155 m² tot.4 rec.3 baños2 estac.
Sur,"5,000,000",paynani,204 m² tot.4 rec.3 baños2 estac.
Sur,"1,472,000","Atenas 18, Col Odisea,  Santa María Atzompa, Oax.",54 m² tot.2 rec.1 baño1 estac.
Sur,"395,000",Huatulco Sector O,264 m² tot.3 rec.3 baños1 estac.
Sur,"1,500,000","398F+MMM Santa Rosa de Lima, Oaxaca",400 m² tot.
Sur,"610,000",Framboyanes,197 m² tot.4 rec.2 baños1 estac.
Sur,"458,000",Casa en Venta en Zipolite Huatulco Oax-386,120 m² tot.2 rec.2 baños1 estac.
Sur,"446,691",Macuil,105 m² tot.2 rec.1 baño2 estac.
Sur,"3,500,000",Mayra Fernandez,4612 m² tot.6 rec.5 baños6 estac.
Sur,"293,000",Mazunte,625 m² tot.7 rec.4 baños7 estac.
Sur,"18,000,000",av,343 m² tot.4 rec.7 baños2 estac.
Sur,"849,000","Boulevard Santa Cruz, Playa el Arrocito",600 m² tot.3 rec.4 baños2 estac.
Sur,"438,510",calle manuel doblado,430 m² tot.3 rec.2 baños2 estac.
Sur,"409,650",LIMONITA,317 m² tot.4 rec.2 baños2 estac.
Sur,"540,000",Boulevard la paz,278 m² tot.4 rec.2 baños2 estac.
Sur,380,Plaza 12 no. 23,300 m² tot.3 rec.2 baños1 estac.
Sur,"450,000",LAURELES 105,368 m² tot.4 rec.3 baños2 estac.
Sur,"19,000,000",Calle rubi puerto escondido,584 m² tot.5 rec.4 baños1 estac.
Sur,"595,000","Bahía de Conejo, Santa María Huatulco",779 m² tot.3 rec.3 baños
Sur,"895,000",CLUB DEL MAR 12,333 m² tot.2 rec.2 baños2 estac.
Sur,"370,250",LOMA BONITA,180 m² tot.4 rec.1 baño3 estac.
Sur,"3,850,000",San Sebastián Tutla,110 m² tot.3 rec.2 baños2 estac.
Sur,"450,000",LAURELES # ,283 m² tot.3 rec.1 baño2 estac.
